refinebio_accession_code	experiment_accession	refinebio_age	refinebio_cell_line	refinebio_compound	refinebio_developmental_stage	refinebio_disease	refinebio_disease_stage	refinebio_genetic_information	refinebio_organism	refinebio_platform	refinebio_processed	refinebio_processor_id	refinebio_processor_name	refinebio_processor_version	refinebio_race	refinebio_sex	refinebio_source_archive_url	refinebio_source_database	refinebio_specimen_part	refinebio_subject	refinebio_time	refinebio_title	refinebio_treatment
SRR6255584	SRP123625								MUS_MUSCULUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	353	Tximport	v1.24.3-hotfix				SRA	mouse lymphoid ba/f3 cells	isogenic ba/f3_r98s mutant form of human rpl10_mrna_suppl		R98S11_mRNA_Suppl	
SRR6255585	SRP123625								MUS_MUSCULUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	353	Tximport	v1.24.3-hotfix				SRA	mouse lymphoid ba/f3 cells	isogenic ba/f3_r98s mutant form of human rpl10_mrna_suppl		R98S13_mRNA_Suppl	
SRR6255586	SRP123625								MUS_MUSCULUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	353	Tximport	v1.24.3-hotfix				SRA	mouse lymphoid ba/f3 cells	isogenic ba/f3_r98s mutant form of human rpl10_mrna_suppl		R98S35_mRNA_Suppl	
SRR6255587	SRP123625								MUS_MUSCULUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	353	Tximport	v1.24.3-hotfix				SRA	mouse lymphoid ba/f3 cells	isogenic ba/f3_wt form of human rpl10_mrna_suppl		WT28_mRNA_Suppl	
SRR6255588	SRP123625								MUS_MUSCULUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	353	Tximport	v1.24.3-hotfix				SRA	mouse lymphoid ba/f3 cells	isogenic ba/f3_wt form of human rpl10_mrna_suppl		WT29_mRNA_Suppl	
SRR6255589	SRP123625								MUS_MUSCULUS	Illumina HiSeq 2500 (IlluminaHiSeq2500)	True	353	Tximport	v1.24.3-hotfix				SRA	mouse lymphoid ba/f3 cells	isogenic ba/f3_wt form of human rpl10_mrna_suppl		WT36_mRNA_Suppl	
